EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
76567.950,78584.330,184741.200,190262.500,183820.800,29790.560,34601.570,34984.910,0.000
75712.940,77701.920,183330.700,188839.800,182412.700,29399.570,33892.790,34608.500,0.000
74821.430,76779.490,181923.500,187426.600,181008.000,28987.410,33138.510,34221.720,0.000
73941.700,75878.970,180527.000,186018.000,179614.100,28562.140,32441.200,33830.070,0.000
73110.910,75037.440,179139.300,184609.000,178229.100,28154.820,31829.420,33449.110,0.000
72314.860,74226.870,177751.900,183200.200,176844.300,27784.200,31225.870,33085.680,0.000
71501.130,73386.260,176361.000,181796.400,175455.800,27423.570,30549.370,32725.060,0.000
70638.040,72492.420,174972.600,180400.400,174069.900,27027.140,29817.110,32347.120,0.000
69755.870,71589.420,173594.500,179010.000,172694.300,26593.230,29118.640,31954.450,0.000
68914.870,70737.690,172225.500,177621.300,171328.000,26175.320,28499.650,31572.530,0.000
68130.280,69938.930,170857.400,176233.100,169962.500,25813.240,27905.790,31216.300,0.000
67347.870,69130.420,169486.100,174848.300,168593.500,25473.900,27255.730,30867.620,0.000
66509.930,68262.470,168116.800,173469.800,167226.700,25090.570,26545.770,30497.750,0.000
65632.340,67364.130,166757.000,172097.600,165869.500,24654.670,25851.600,30107.090,0.000
64788.320,66508.940,165406.300,170728.600,164521.500,24232.490,25228.500,29726.620,0.000
64013.020,65719.470,164057.200,169360.600,163174.900,23876.620,24641.210,29376.270,0.000
63253.920,64935.230,162705.300,167994.800,161825.400,23551.390,24012.620,29036.490,0.000
62438.130,64090.540,161355.300,166634.200,160477.800,23178.900,23324.510,28674.020,0.000
61570.450,63202.270,160013.900,165280.200,159139.000,22746.080,22638.800,28287.630,0.000
60729.230,62349.180,158681.300,163930.500,157809.000,22324.610,22014.540,27910.530,0.000
59961.820,61567.390,157350.800,162582.200,156481.000,21973.330,21431.820,27565.100,0.000
59219.820,60801.290,156018.300,161235.300,155150.900,21656.740,20820.610,27231.900,0.000
58423.520,59977.430,154687.400,159892.900,153822.500,21293.240,20153.450,26876.250,0.000
57569.600,59103.130,153364.500,158557.100,152502.100,20867.180,19479.190,26495.780,0.000
56735.780,58256.610,152049.800,157226.300,151190.000,20450.180,18856.460,26123.510,0.000
55975.530,57481.620,150737.700,155897.300,149880.300,20102.400,18277.210,25782.350,0.000
55245.980,56729.010,149424.300,154569.400,148569.400,19790.470,17680.120,25454.020,0.000
54466.880,55923.790,148112.700,153245.300,147260.200,19434.470,17032.660,25104.700,0.000
53629.290,55066.110,146808.200,151927.600,145958.200,19017.700,16371.900,24731.280,0.000
52806.320,54229.570,145511.300,150615.400,144663.800,18607.890,15753.050,24364.870,0.000
52052.960,53461.060,144217.300,149305.400,143372.300,18263.000,15176.840,24027.590,0.000
51332.590,52718.630,142922.900,147996.400,142080.300,17952.960,14591.370,23702.970,0.000
50568.800,51930.170,141630.400,146690.700,140790.200,17603.310,13962.230,23359.550,0.000
49749.110,51090.680,140344.200,145391.200,139506.500,17197.420,13316.230,22993.870,0.000
48939.470,50266.660,139065.000,144097.300,138229.800,16796.620,12703.220,22634.020,0.000
48193.070,49504.700,137789.000,142806.000,136956.300,16454.330,12130.110,22300.430,0.000
47479.690,48770.210,136513.400,141515.800,135683.100,16144.470,11554.400,21978.780,0.000
