timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681374983.3315692,227950.875,635762.4375,710812.25,490021.6875,710748.6875,711139.1875,711006.5,257066.171875,0.0
1681374983.3340726,226566.5,633516.75,710699.5,489264.34375,710635.6875,711026.25,710893.5,256319.453125,0.0
1681374983.3371656,226580.8125,632151.1875,710668.625,489230.90625,710605.25,710995.5,710862.875,255961.90625,0.0
1681374983.3371785,227820.53125,633633.875,710753.5,489805.0625,710690.1875,711080.4375,710948.0625,256447.03125,0.0
1681374983.3390615,228354.90625,635250.125,710817.9375,490092.78125,710754.3125,711144.75,711012.25,256948.609375,0.0
1681374983.342775,227920.03125,635421.875,710810.375,489895.09375,710746.6875,711137.3125,711004.4375,257022.1875,0.0
1681374983.342796,226541.46875,633185.0625,710698.625,489132.90625,710634.875,711025.375,710892.625,256280.28125,0.0
1681374983.342801,226535.921875,631795.125,710668.1875,489080.25,710604.625,710995.0,710862.375,255910.3125,0.0
1681374983.3459218,227776.625,633258.9375,710753.6875,489659.5,710689.9375,711080.375,710948.0625,256389.453125,0.0
1681374983.3459337,228322.453125,634876.5625,710817.875,489952.6875,710754.125,711144.8125,711012.25,256895.671875,0.0
1681374983.3503382,227885.171875,635060.8125,710812.0625,489758.5625,710748.5625,711139.0,711006.6875,256982.21875,0.0
1681374983.3534284,226494.34375,632822.5,710698.1875,488996.65625,710634.3125,711025.0,710892.6875,256237.28125,0.0
1681374983.3534408,226475.9375,631401.125,710665.1875,488943.625,710601.625,710992.125,710859.625,255858.28125,0.0
1681374983.3552244,227722.265625,632864.125,710750.5625,489521.8125,710687.25,711077.75,710945.375,256343.5,0.0
1681374983.3583844,228276.5,634495.0625,710819.125,489833.6875,710755.3125,711146.0,711013.5,256854.546875,0.0
1681374983.3583972,227851.90625,634698.5625,710815.75,489659.25,710751.8125,711142.4375,711009.8125,256942.171875,0.0
1681374983.3653176,226460.546875,632469.3125,710702.25,488898.21875,710638.5,711029.125,710896.4375,256196.953125,0.0
